"","BF","BFerror","mean","mean.SD","quant.2.5","quant.97.5"
"x",104704310.935965,5.51999267086212e-13,-0.236669436964019,0.0346214691275327,-0.304350803242799,-0.168653503009988
"y",59145747.5707674,1.39290840810904e-12,-0.206675107943504,0.0307380840593127,-0.267150252508527,-0.146074000896239
