"","BF","BFerror","mean","mean.SD","quant.2.5","quant.97.5"
"x",12416396.9300906,4.08483715163279e-12,-0.225726770004873,0.0351577730963933,-0.29425038747651,-0.156775228369363
"y",0.332908027309187,0.000217113448612412,0.0321605467915919,0.0336106536013322,-0.0334446352530987,0.0989338520514019
