"","BF","BFerror","mean","mean.SD","quant.2.5","quant.97.5"
"x",11000668.7171285,5.12822563519471e-12,0.216189074586467,0.0338257735519024,0.14981532149509,0.282252699927639
"y",0.210366106773024,0.000262022748535151,0.00474441183965069,0.0451766964444106,-0.0842196940208329,0.0939085654150442
