"","FreshMass","DryMass","WaterContent","LeafArea","Perimeter","AspectRatio","Circularity","Solidity","LMA","LaminaThickness","LaminaDensity","LaminaToughness","ChlorophyllContent._SPAD","ChlorophyllContent_areabasis","ChlorophyllContent_massbasis","TrichomeDensity","AshContent","TotalPhenolics","TotalFlavonoids"
"PPN_242",1.18,0.201490368193553,4.9561293201255,42.85,39.28,1.45,0.35,0.81,46.8968920091289,0.34,0.13633216833779,26.2,43.53,522.95,11.1638460567017,536,12.4,2.73,2.61
"PPN_243",0.58,0.105685530730508,6.10794031351177,37.73,31.13,1.79,0.49,0.9,34.4928352275144,0.32,0.113516684377144,25.18,38.78,435.13,12.2725524219262,397,11.6,1.62,2.11
"PPN_244",1.48,0.169428716448421,8.2739172479948,73.32,47.38,1.42,0.41,0.84,22.1572616457197,0.37,0.0679947106874293,27.57,34.43,358.89,13.1534548653149,372,14.95,1.5,2.31
"PPN_245",2.04,0.235454560275592,8.31286940471899,81.53,45.79,1.48,0.49,0.87,26.2535540558126,0.39,0.0732732414997014,24.77,39.27,441.93,14.5659369370943,392,13.53,1.15,2
"PPN_247",1.8,0.195641067505678,7.9313041172017,58.33,43.37,1.45,0.39,0.79,33.7090459621979,0.38,0.0979565966525846,28.57,47.53,607.21,16.004884834686,346.67,13.87,1.35,2.92
"PPN_248",1.51,0.172576950134873,7.39149829477451,55.64,38.97,1.62,0.46,0.88,32.3400982544474,0.43,0.0779639392732173,18,44.8,548.25,15.5618832505162,372,10.9,1.13,2.47
"PPN_249",1.18,0.12171107295017,7.3498796389815,40.73,33.34,2.04,0.46,0.88,32.5211617892343,0.35,0.0992733530077962,21,35.1,369.38,12.1300812284613,812,18.7,1.07887721416027,1.95229772618175
"PPN_250",1.96,0.241743524692334,7.27494310926122,66.53,41.84,1.48,0.48,0.88,36.0295033894232,0.44,0.0842590083412991,25.67,45.07,553.88,14.6189698356345,337.33,13.27,1.24,2.16
"PPN_251",1.55,0.19608430430243,6.75818522425438,49.89,38,1.48,0.43,0.82,39.8183663727206,0.4,0.103822397315152,27,46.3,580.38,14.3256966772145,753.33,13.77,1.42,2.42
"PPN_252",1.24,0.202094785836448,5.62181798405211,40.55,34.13,1.74,0.44,0.84,46.9291950994203,0.37,0.130988030216211,25.32,36.66,397.22,9.25579771957249,520.8,6.7,1.15,2.36
"PPN_253",3.41,0.408331667652545,8.53812103800049,122.65,63.01,1.18,0.39,0.87,27.6047127956479,0.36,0.0828502649661209,31.77,37.23,405.48,13.1789440480698,381.33,17.4,1.02,1.8
"PPN_254",1.59,0.190791194390216,7.24149890225623,52.66,37.1,1.3,0.48,0.85,37.2547811814884,0.46,0.0805172501429451,25.57,41.67,486.83,13.1134383696691,417.33,16.2,1.1,1.76
"PPN_255",4.11,0.539759623317649,6.00086172725176,101.63,50.86,1.33,0.49,0.9,57.6781623254251,0.41,0.145468780091126,33.54,39.52,447.3,8.10363008937509,601,13.76,1,2.07
"PPN_256",2.3,0.25821811697315,8.14145657019538,72.13,53.22,1.53,0.32,0.75,33.8256423890321,0.37,0.0980007930286928,24.43,46.17,577.07,15.88497315704,462.67,15.8,1.53,2.29
"PPN_257",2.46,0.272039201677147,8.44039727350401,78.08,52.12,1.86,0.36,0.81,32.3836836742652,0.43,0.0790719185144344,27.2,48.3,623.27,17.004371793315,468,16.43,1.34,2.44
"PPN_258",3.25,0.394253845235116,8.01561253197585,104.8,60.11,1.51,0.36,0.82,35.2917040553092,0.43,0.0815795363145975,23.57,38.03,419.47,12.5668052795605,688,13.43,1.14,2
"PPN_259",2.45,0.303220291330201,7.43375098970801,85.64,45.49,1.12,0.52,0.88,33.8111892116811,0.4,0.0909075587038646,32.1,44.33,540.23,14.1040809489177,301.33,12.5,2.05,2.99
"PPN_260",2.27,0.257316641416457,8.4014070324496,81.9,44.51,1.31,0.52,0.88,29.425162974126,0.48,0.0568002955406683,25.8,44.53,543.09,15.8898184207464,241.33,14.57,1.04,1.91
"PPN_261",2.99,0.393341779142592,7.06583134483967,99.83,53.99,1.29,0.43,0.85,39.1454925037242,0.35,0.115584090337123,31.53,38.77,434.54,11.3267757020395,426.67,12.45,1.59,2.18
"PPN_262",2.8,0.348000346757455,7.74022066598191,88.85,53.98,1.46,0.39,0.79,37.8303600234447,0.38,0.103085392370146,26.33,38.8,433.33,12.3349769714443,646.67,13.35,1.05,1.73
"PPN_263",3.18,0.37650355914253,8.15589824130108,101.74,53.48,1.42,0.45,0.84,34.3416458109458,0.37,0.0990198566675623,27.47,39.07,437.93,12.8941035384813,473.33,14.75,1.44,2.23
"PPN_264",1.79,0.236327178130118,6.6857007019349,60.95,42.6,1.29,0.42,0.85,39.109905075418,0.36,0.113163417603972,27.2,39.97,455.19,11.8713822177928,301.33,14.2,1.11,1.88
"PPN_265",3.61,0.435238064198407,8.7445278704481,130.66,56.74,1.22,0.51,0.87,28.821032541565,0.42,0.0703901506952287,30.43,39.77,451.86,14.0812173141957,468,13.3,1.55,2.11
"PPN_266",2.24,0.295578556272517,6.06032843954215,60.9,46.03,1.59,0.36,0.85,46.2016762862602,0.37,0.127168005983311,26.1,34.5,360.24,8.47057229956656,588,14.43,1.46,2.51
"PPN_267",2.29005136444002,0.323998113204158,6.21467114529496,68.73,43.48,1.45,0.46,0.85,47.1822311854957,0.43,0.113425218714305,35.1,41.07,475.94,10.4671367433519,630.67,13.23,1.36,2.01
"PPN_268",1.52261687609479,0.188995480573351,7.06939655576214,54.05,34.56,1.21,0.55,0.89,35.1494938394224,0.4,0.0928570400217771,27.3,38.3,425,12.0209426644497,452,13.5,1.06,2.14
"PPN_269",1.40398294713946,0.215854626584586,5.65156019289803,46.31,34.84,1.21,0.47,0.88,45.7518737832755,0.44,0.107085288606322,33.33,40.27,460.35,10.0283247746861,524,12.7,1.27,2.32
"PPN_270",2.03117262247284,0.288669144174396,6.2193217190141,60.02,46.34,1.45,0.35,0.79,47.5025923867966,0.41,0.119449667898281,32.33,42.3,499.49,11.0584461176303,664,12.05,1.03,2.06
"PPN_271",1.56415016620901,0.218386309561268,6.14836616102363,48.07,38.74,1.25,0.4,0.82,44.9600629853559,0.44,0.10264448139672,28.1,40.63,467.82,11.0126326578676,901.33,13.5930490809565,0.79,1.93
"PPN_272",1.32774840896566,0.241030742557661,4.41910680657089,36.55,33.46,1.39,0.41,0.87,56.7703267697959,0.5,0.116480445110732,36.33,43.43,523.89,8.90957479760314,836,10.5280130357158,1.09,2.41
"PPN_273",2.01782216803849,0.268081220090504,6.86722619748467,62.78,40.73,1.35,0.46,0.84,42.9591835812523,0.46,0.0947230299170001,32,38.53,428.42,10.61131967844,581.33,13.7,0.79,1.85
"PPN_274",0.86665770248353,0.16170323913848,5.27208737951112,27.87,25.92,1.75,0.52,0.89,48.8962355940073,0.42,0.121631832819683,30.5,40.8,470.07,10.1238231593407,542,11.9293259746632,1.17,1.78
"PPN_275",1.15907318966232,0.170079228914395,6.08614760573785,39.95,36.22,1.58,0.38,0.82,43.4893771580926,0.42,0.107215759354485,26.9,39.83,451.87,10.8813051983532,552,12.6213290985883,1.39,2.33
"PPN_276",1.88494660770377,0.250361565414855,6.69729699870046,59.66,39.23,1.45,0.48,0.86,41.3558527511835,0.41,0.104478453975682,29.77,39.83,453.21,11.4913030424339,693.33,13.4,0.96,1.99
"PPN_277",0.852846204440645,0.146955158199919,5.34692879335616,29.25,24.52,1.27,0.61,0.94,43.655014737167,0.41,0.111005380243724,31,41.43,486.74,10.9429681534068,588,12.0541026133076,1.51,2.39
"PPN_278",1.15482505612627,0.168306187676796,6.1889030714984,38.08,34.17,1.4,0.42,0.81,43.7039239623713,0.41,0.110932622722368,30.67,38.4,427.17,10.1720263918205,650.67,12.7311988652461,1.28,2.4
"PPN_279",0.920953174533706,0.140033140464121,6.39783621244848,37.05,31.05,1.59,0.48,0.86,39.582148293515,0.35,0.11862650201159,28.77,32.83,335.21,9.25396736183119,364,12.625472583389,0.86,1.83
"PPN_280",1.8623761204249,0.266716204348811,6.05597426590513,57.52,40.78,1.31,0.44,0.85,46.1357954682725,0.48,0.0939350697235212,29.7,37,401.79,9.29552514634427,742.67,15,1.22,1.65
"PPN_281",0.989655688582975,0.177223237835838,5.3399448061556,33.32,28.02,1.64,0.53,0.91,47.345356141177,0.41,0.120159902646411,30.1,39.3,443.66,9.85192469651203,470.67,11.7039618848812,0.97,1.65
"PPN_282",1.23009651129917,0.176708317583623,6.11456351868493,37.31,36.85,1.65,0.35,0.8,45.7488443063247,0.44,0.107792184287162,30.33,42.17,496.61,11.2653130695909,725.33,12.7212512377362,1.19,2.58
"PPN_283",1.34701323466164,0.171648372991724,6.8926776854526,43.75,34.46,2.14,0.46,0.9,39.2506600439363,0.46,0.0891548682157223,28.87,42.23,497.62,12.8260545792277,357.33,14.1,1.14,2.44
"PPN_284",1.54402813674088,0.281376865015926,4.65237579951642,47.32,40.61,1.55,0.36,0.81,56.2278207275532,0.43,0.135902005037469,37.67,35.8,384.28,6.17671807547684,417.33,10.4,1.88,2.19
"PPN_285",2.26447216028088,0.329074605404461,6.0055353525264,63.08,42.78,1.59,0.44,0.87,51.1828523268234,0.5,0.105517270765459,42.97,41.63,486.68,9.45625626509468,573.33,14.1,1.02,2.24
"PPN_286",1.02281058833691,0.140951955646166,6.21693784265315,37.02,31.29,1.47,0.47,0.89,39.5855370619187,0.43,0.095209928954977,28.9,38.23,423.07,10.7699677756245,654.67,13.2856039545568,1.19,2.71
"PPN_287",1.58334904277191,0.224721090879692,6.23539296941219,45.78,38.4,1.29,0.39,0.78,47.6092822035363,0.44,0.113324039013608,34,46.07,576.3,12.2780169430016,604,11.4836357922902,1.16,2.51
"PPN_288",0.851916816116113,0.170444538752229,4.64022799973303,26.42,31.64,1.73,0.34,0.84,53.4564958380355,0.41,0.135162528204406,32.9,45.5,563.03,10.667677615657,697.33,10.8454055789395,1.06,2.44
