"","FreshMass","DryMass","WaterContent","LeafArea","Perimeter","AspectRatio","Circularity","Solidity","LMA","LaminaThickness","LaminaDensity","LaminaToughness","ChlorophyllContent._SPAD","ChlorophyllContent_areabasis","ChlorophyllContent_massbasis","TrichomeDensity","AshContent","TotalPhenolics","TotalFlavonoids"
"PPN_155",3.1,0.446691612430056,5.51425090063881,84.93,52.25,1.31,0.39,0.8,56.0898735643972,0.41,0.13956848972293,29.57,40.37,463.67,8.68891062505117,528,9.7,1.8,1.92
"PPN_156",2.55,0.34708703131903,6.38229684782295,83.06,50.74,1.13,0.4,0.83,42.4855601742919,0.32,0.129974245178622,24.67,41.33,483.44,11.9870562703564,513.33,12.05,1.23,1.59
"PPN_157",3.15,0.45864835635809,5.47045151535336,84.09,54.37,1.3,0.36,0.78,58.6377926180491,0.46,0.131644862365332,33.2,42.03,493.32,8.6236698176371,384,13.23,2.08,1.54
"PPN_158",2.92,0.414721392672225,5.60355194039157,79.46,51.17,1.29,0.38,0.79,53.9160134993023,0.38,0.142193931250922,30.43,34.87,366.21,6.94414594285107,666.67,11.5,2.04,2.25
"PPN_159",1.49,0.197030149443917,6.58475390443036,53.79,36.49,1.3,0.5,0.85,37.677208906436,0.37,0.104270612158125,26.13,42.67,507.59,13.3040425834868,716,17.75,1.87,1.6
"PPN_160",1.87,0.257429377688251,6.4205450912643,57.83,41.51,1.49,0.42,0.8,44.512433545429,0.38,0.120758487882084,24.33,42.17,496.3,12.0172399045051,456,11.97,1.53,1.81
"PPN_161",2.31,0.301036973617742,6.09569438312402,61.6,42.06,1.31,0.44,0.83,46.9193519548772,0.37,0.127436841129896,20.33,40.07,457.32,10.8383821005415,838,11.9,1.41,2.21
"PPN_162",2.51,0.308846092134899,7.62023390961193,76.16,51.87,1.62,0.36,0.75,39.2459326785807,0.35,0.116341874839923,26.87,41.63,487.56,13.1009367500556,610.67,14.6,1.6,1.99
"PPN_163",3.16,0.451951030354341,6.0252398150668,88.23,63.64,1.43,0.28,0.76,52.0177560710367,0.39,0.133566831704032,31.57,34.13,353.77,7.26501802020718,552,11.8,1.49,1.59
"PPN_164",3.16,0.406428941883846,7.01568842528061,98.22,59.93,1.32,0.34,0.8,41.321586800254,0.4,0.103779992213593,24.13,38.3,424.36,11.0965960819844,524,15.53,2.08,1.84
"PPN_165",1.96,0.29039001065217,5.49366500938785,59.94,44.87,1.48,0.38,0.8,48.0452135871986,0.34,0.138268045582139,24,43.87,532.27,11.7269040893905,673.33,12.3,2.28,2
"PPN_166",2.47,0.344847508994976,6.0798550893706,75.03,48.32,1.39,0.41,0.83,46.7929512130047,0.42,0.111897617808855,21.3,40.6,466.88,11.0790051020284,696,10.27,1.34,1.64
