"","FLAVPHEN_PC1","FLAVPHEN_PC2","LES_PC1","LES_PC2","LES_PC3","LES_PC4","LES_PC5","LES_PC6","LES_PC7","LES_PC8","LES_PC9","LES_PC10"
"PPN_001",0.591497892456417,0.984899107930566,-0.825640875725932,2.58675976138309,-0.328543681697286,-1.66782359319722,-0.170262496965059,-0.112157217281025,-0.254722005921923,-0.14105537431061,-0.646222580648493,-0.420707566721559
"PPN_002",-0.680492735036775,0.0127572617511897,1.19370141021705,0.255303066882399,-0.850191029860468,-2.19064028901106,0.608364071443495,0.650591673161679,1.11992317590037,0.493181880180156,0.598101800743387,0.30954779938119
"PPN_003",0.816317537331715,-0.889222716390837,5.29728832081717,-0.64769687352942,0.146380206929304,-0.392420349751626,-0.413207415639696,0.393397109027589,-0.376947977110063,-0.23252162486881,0.59779268879448,0.23811914643014
"PPN_004",2.05383563935638,-1.45079730224906,1.84064587558144,0.51401046071134,-1.66992041724269,0.685289578964963,0.65371657972389,0.325029148346216,0.744678272119955,0.0752666541725626,-0.146176604457859,-0.146673479462393
"PPN_005",0.165752465766085,-1.1309030861649,-0.951414311661105,1.33479878014675,0.136744540502296,-0.65872350791091,0.989822289911858,-0.462321713429558,0.133216273834467,0.40808373941589,-1.16304170494217,-0.229094349269472
"PPN_006",-0.0439996324764235,0.376660563117164,1.31754341040434,1.48023323435964,-0.990709789717699,-2.77128991776553,1.56717362373089,-0.0899397079890103,-0.553962473643246,0.629480873596735,0.91092089893864,-0.143623974273596
"PPN_007",-0.140844119467527,0.824995678514814,0.706052292249356,2.31932879223782,-1.44103698273803,-1.66388826245664,-0.64684757270255,-0.0301502000640872,0.930170009809613,0.316222959645762,0.4148680263507,-0.188392286907935
"PPN_008",-1.14124052339385,-0.175400725411511,1.33063635621694,0.620126959851398,-1.84547947513913,0.0185960721147779,-0.18365754023154,-0.873573063250564,0.938849476590416,0.219041238370832,-0.401178592778125,0.015386778199123
"PPN_009",0.214407579976284,0.253442053897744,1.28497183325632,1.90886252400144,-1.38232272593584,0.384124214406741,0.0304325312482103,1.30716400779675,0.419167345182353,0.988882073767479,-1.53740032237176,-0.276918992250659
"PPN_010",0.162102014465211,-0.235007193524333,0.455813203472306,2.79232296887888,-1.4066469068871,0.678811640080298,2.62804872912916,0.734539200948968,0.367443514128475,0.179287891350588,-0.966355269816488,-0.0948242319737237
