"","X1.2","X3.3","X3.52","X3.77","X4.05","X4.21","X4.42","X4.55","X4.6","X4.87","X4.98","X5.28","X5.53","X5.89","X6.37","X7.1","X7.28","X7.47","X7.58","X7.71","X7.83","X7.93","X8.11","X8.21","X8.3","X8.38","X8.51","X8.69","X8.81","X8.89","X11.64","X11.78"
"PPN_241",NA,13.58888245,2.805528402,4.205471039,155.5119019,13.69040394,11.45421886,12.07218075,6.011988163,5.518629074,22.69598579,8.61357975,4.904256344,5.292840004,9.015749931,335.8475037,35.65808105,11.59353995,6.746133327,NA,17.97070122,7.28818655,6.88822937,NA,7.600778103,5.761104703,3.956501484,2.679682255,NA,1.89609623,NA,2.826351643
"PPN_242",1.883178353,56.58535004,4.793244839,16.95191956,497.6242065,98.43477631,11.59177399,27.63265419,NA,34.44952011,31.20219994,20.46003151,14.39430428,4.173394203,10.43948746,952.8563843,59.47384644,71.47697449,18.81134415,22.06322479,30.73901845,26.87093163,19.62405586,NA,36.7081337,NA,13.06527901,5.557679653,7.183825255,5.818785787,1.286690831,3.392365456
"PPN_243",NA,18.29494476,2.408928156,6.336976051,124.6752014,14.64006138,7.419548512,8.790644646,5.420309544,10.2721653,22.97938728,16.04071999,8.121917725,3.290782452,5.042485714,285.8818665,40.36783218,11.18854332,5.43382597,6.507692337,7.685940266,6.341012955,4.74579668,NA,11.58531189,NA,NA,NA,NA,4.700176239,NA,2.763674021
"PPN_244",NA,19.24679756,2.334443569,7.068708897,235.0627136,20.35638809,12.23765087,13.05217266,5.841995716,20.26387596,16.18265724,11.26909351,8.873914719,3.78992033,10.19294739,555.3081665,42.78667831,13.95567417,7.691293716,9.292279243,13.03982735,6.820665836,7.221609592,NA,8.146519661,5.955571771,2.697244883,2.365364075,NA,1.845988631,NA,2.941097975
"PPN_245",4.636007786,22.33476639,2.181706429,6.766563416,272.5941162,29.91055107,8.050681114,12.06180668,7.61604023,13.50610065,14.57512474,11.30211926,7.855921745,3.772001743,6.170285225,703.2280273,47.64868927,29.08403969,7.854902744,12.94844055,25.27106857,NA,9.86606884,NA,12.13340282,NA,3.210626125,3.23176384,1.750975013,1.568012953,NA,2.816408634
"PPN_247",4.23790884,33.88432312,3.227530956,11.08777046,505.9472351,64.51467133,6.771241665,15.59349632,8.427479744,32.07637024,27.34576797,17.26989746,8.99426651,6.066717625,8.975205421,979.288147,59.58295822,31.57965136,11.85204792,16.49996758,21.59656334,12.07931614,15.90968418,11.91838932,NA,9.007230043,5.478326321,2.817892313,5.475502968,8.024485588,1.478324294,3.333974361
"PPN_248",NA,26.39809608,2.136900902,8.680475235,374.5700989,28.56863403,9.662810326,18.61817551,NA,10.53805447,19.88935852,12.37944317,10.19665813,4.852732182,12.21090412,629.7753906,48.38046646,23.78934669,7.655702591,10.34309101,13.32632446,8.111028671,8.13865757,NA,16.90759468,NA,4.017711639,NA,NA,7.815670967,NA,2.7989676
"PPN_249",NA,22.86130905,3.188119173,6.035016537,204.1903534,9.658060074,11.68254757,13.83164692,7.273831844,NA,33.34698105,13.57855701,12.28935623,11.35694027,13.83997059,922.817627,66.91983032,39.86551285,12.53453732,16.08009148,18.45930672,14.17536545,14.18724442,NA,15.94163513,8.339219093,5.834964156,2.345460892,3.681458831,2.305961251,NA,2.741007328
"PPN_250",7.264912128,43.07929993,3.645207167,20.7872982,795.2886963,54.31749344,10.89637756,38.10044479,NA,26.1821785,32.03542709,22.01159286,13.96721935,8.645577431,24.92847824,1440.484863,105.7935486,57.04877472,9.061197281,15.39787388,19.15792084,7.403439522,NA,9.267218353,11.48262215,5.464148045,4.870101691,2.677572966,4.347086906,NA,1.166957498,3.327935457
"PPN_251",NA,34.12308502,3.266945839,14.23832798,464.1434937,20.49396515,9.870656013,17.43320084,8.47726059,23.17660522,31.42850876,16.93008995,11.17116928,8.488226891,10.87296772,987.8397217,70.0561676,22.73987437,14.55091763,17.91703415,42.8284874,7.395588875,NA,10.40452862,15.42810631,11.9479475,6.038021564,2.903514266,7.517400265,NA,1.315163016,2.943171263
