Line_PPN,CORE12,FreshMass,DryMass,WaterContent,LeafArea,Perimeter,AspectRatio,Circularity,Solidity,LMA,LaminaThickness,LaminaDensity,LaminaToughness,ChlorophyllContent _SPAD,ChlorophyllContent_areabasis,ChlorophyllContent_massbasis,TrichomeDensity,AshContent,TotalPhenolics,TotalFlavonoids,LES_PC1
PPN_039,NON-CORE,2.07,0.32,5.45,65.1,45.6,1.27,0.4,0.88,50.66,0.42,0.12,25.1,36.73,397.63,8.3,545.33,11.03,1.15,1.24,0.927073967
PPN_040,NON-CORE,1.73,0.27,5.51,55.51,38.67,1.3,0.47,0.89,48.44,0.42,0.11,32.53,35.93,385.99,8.34,417.33,8.73,0.86,0.77,1.572871286
PPN_041,NON-CORE,1.92,0.33,4.82,58.3,43.17,1.32,0.4,0.83,56.69,0.4,0.14,29.23,35.4,374.44,6.61,658.67,9.6,0.63,0.63,2.43922731
PPN_042,NON-CORE,1.4,0.19,6.4,46.94,37.1,1.43,0.43,0.86,41,0.41,0.1,29.8,37.43,409.54,10.06,464,13.15,0.5,0.71,-0.389135867
PPN_043,NON-CORE,1.67,0.33,4.05,58.01,38.08,1.27,0.5,0.91,57.4,0.48,0.12,28,35.67,378.97,6.6,678,8.45,0.98,0.64,2.790896959
PPN_044,NON-CORE,2.03,0.32,5.29,72.78,44.58,1.17,0.44,0.83,47.76,0.38,0.13,26.43,34.27,355.79,7.99,648,14.15,0.88,0.91,0.549937201
PPN_045,NON-CORE,1.54,0.35,3.47,49.46,43.66,1.62,0.34,0.79,69.75,0.46,0.16,29.77,39.33,443.45,6.45,354.67,6.43,1.34,0.89,4.4447679
PPN_046,NON-CORE,1.5,0.29,4.11,56.66,39.83,1.38,0.45,0.87,52.26,0.36,0.14,29.77,36.63,395.22,7.73,569.33,8.55,0.72,0.85,2.395830597
PPN_047,NON-CORE,1.62,0.32,4.27,52.26,40.08,1.37,0.42,0.84,60.12,0.41,0.15,27.9,38.57,431.11,7.55,350.67,7.45,0.76,0.78,2.949395376
PPN_048,NON-CORE,2.06,0.38,4.4,56.86,48.63,1.58,0.3,0.83,67.32,0.47,0.14,40.2,37.8,415.37,6.22,560,10.03,1.01,1.19,4.188388481
PPN_049,NON-CORE,2.77,0.4,5.76,73.46,44.81,1.38,0.45,0.84,58.09,0.42,0.14,27.3,40.63,468.77,8.69,418.67,12.93,1.28,0.83,1.305727586
PPN_050,NON-CORE,1.64,0.28,4.97,56.76,43.8,1.32,0.37,0.83,49.59,0.35,0.14,26.87,37.83,416.38,8.63,444,9.05,0.78,0.75,1.499295194
PPN_051,NON-CORE,1.52,0.31,4.82,49.88,35.9,1.54,0.49,0.83,54.08,0.38,0.14,25.77,36.7,405.42,8.43,301.33,6.83,0.62,0.55,2.023095755
PPN_052,NON-CORE,0.9,0.15,5.09,34.64,29.54,1.61,0.52,0.87,42.89,0.46,0.09,22.9,42.8,508.29,12.14,441.33,23.6,0.47,0.81,-1.946473757
PPN_053,NON-CORE,1.17,0.2,5.13,41.85,34.24,1.54,0.46,0.86,46.46,0.32,0.15,25.23,42.67,507.86,11.49,474.67,8.15,0.59,0.62,0.791076111
PPN_054,NON-CORE,1.22,0.2,5.22,44.41,37.52,1.54,0.39,0.8,44.38,0.42,0.11,26.7,40.97,473.19,10.78,437.33,11.23,1.17,1.56,0.224418602
PPN_055,NON-CORE,1.57,0.34,3.55,58.99,45.71,1.36,0.36,0.79,58.15,0.38,0.15,29.47,36.63,395.19,6.86,608,9.2,0.79,0.8,3.087679099
PPN_056,NON-CORE,1.84,0.25,6.25,61.36,44.9,1.19,0.37,0.83,42.14,0.38,0.11,22.9,32.5,328.86,8.12,484,10.43,1.11,0.69,-0.076704248
PPN_057,NON-CORE,1.58,0.28,4.58,45.82,52.55,1.6,0.22,0.75,61.61,0.46,0.14,30.37,38.7,431.7,7.02,580,9.37,0.77,0.98,2.905403934
PPN_058,NON-CORE,1.94,0.25,6.44,61.47,42.57,1.32,0.41,0.84,43.8,0.4,0.12,25.23,35.67,380.25,9.15,297.33,12.05,0.77,0.85,-0.11975093
PPN_059,NON-CORE,1.54,0.25,5.14,52.36,42.65,1.38,0.35,0.74,48.14,0.45,0.11,22.33,42.37,502.67,10.61,528,13.4,0.84,0.98,-0.035878587
PPN_060,NON-CORE,0.99,0.13,6.65,32.37,27.55,1.49,0.54,0.91,39.98,0.38,0.11,21.1,55.3,787.68,19.79,702.67,15.7,0.66,1.02,-2.968694779
PPN_061,NON-CORE,2.06,0.36,5.06,60.93,41.62,1.15,0.45,0.85,58.18,0.46,0.13,29.77,41.23,478.06,8.71,546.67,7.2,0.72,0.94,2.421373526
PPN_062,NON-CORE,1.6,0.35,3.58,45.43,43.48,1.41,0.31,0.77,76.82,0.49,0.16,32,33.75,347.48,4.53,496,6.7,0.53,0.6,5.336110034
PPN_063,NON-CORE,1.46,0.27,4.51,51.2,37.55,1.37,0.46,0.87,52.86,0.38,0.14,26.1,41.33,483.01,9.66,410.67,9.15,0.85,0.85,1.614538229
PPN_064,NON-CORE,1.84,0.37,4.02,51.02,41.75,1.35,0.37,0.81,72.36,0.48,0.15,30.7,39.2,441.09,6.21,404,9,1.21,1.26,4.127806119
PPN_065,NON-CORE,1.62,0.24,5.66,54.76,40.96,1.27,0.41,0.84,45.16,0.41,0.11,27.33,39.6,449.76,10.12,433.33,14.6,0.68,0.75,-0.152092949
PPN_066,NON-CORE,1.55,0.28,4.64,48.69,41,1.37,0.39,0.84,56.36,0.42,0.13,33.43,35.53,378.14,6.93,581.33,8.4,0.76,0.92,2.865404711
